Phase 1 EQ QTY,Phase 2 EQ QTY,Phase 3 EQ QTY,Phase 4 EQ QTY,Phase 5 EQ QTY,Phase 6 EQ QTY,Location,Equipment Type,Quantity,Per Phase,OEM,Description,Voltage/Rating,Notes,"Commissioning 
Level","Per Block
Quantity","Total
Blocks",L2,L3,L4,L5,L6,Total Hours,L2 Total Hours,L3 Total Hours,L4 Total Hours,L5 Total Hours,,PM & Coordination,Switchyard,Phase 1 Labor Hours,Phase 2 Labor Hours,Phase 3 Labor Hours,Phase 4 Labor Hours,Phase 5 Labor Hours,Phase 6 Labor Hours,Total All Phases
7,7,7,7,7,7,White Space - Option 2,Remote Distribution Panel,40,6,Vertiv,400A RXV Panels,480V,Option 2 (BASE),Level 4,7,6,1.35,1.6,1.1,0.5,0.5,5.1,54,64,44,20,,,,35,35,35,35,35,35,212
32,32,32,32,32,32,White Space - Option 2,CDU,190,31,Vertiv,XDU 2300,,Option 2 (BASE),Level 4,32,6,0.9,2.4,1.5,0.5,0.5,5.8,171,456,280,95,,,,185,185,185,185,185,185,1109
36,36,36,36,36,36,White Space - Option 2,CRAH Fan Wall - Data Hall,214,35,Vertiv,CA606,,Option 2 (BASE),Level 4,36,6,1.35,2.4,1.1,0.5,0.5,5.9,289,514,237,107,,,,211,211,211,211,211,211,1265
,,,,,,White Space - Option 3,HAC - SmartRun,41,6,Vertiv,Hot Aisle Containment,,Option 3 (not base),Level 4,7,6,1.8,3.2,0.7,0.5,0.5,6.7,74,131,30,21,,,,0,0,0,0,0,0,0
,,,,,,White Space - Option 3,Rack Power Panel,576,96,Vertiv,1000/1200A,480V,Option 3 (not base),Level 4,96,6,0.9,1.6,1.1,0.5,0.5,4.6,518,922,637,288,,,,0,0,0,0,0,0,0
,,,,,,White Space - Option 3,Remote Distribution Panel,40,6,Vertiv,400A RXV Panels,480V,Option 3 (not base),Level 4,7,6,1.35,1.6,1.1,0.5,0.5,5.1,54,64,44,20,,,,0,0,0,0,0,0,0
,,,,,,White Space - Option 3,CDU,190,31,Vertiv,XDU 2300,,Option 3 (not base),Level 4,32,6,0.9,2.4,1.5,0.5,0.5,5.8,171,456,280,95,,,,0,0,0,0,0,0,0
,,,,,,White Space - Option 3,CRAH Fan Wall - Data Hall,214,35,Vertiv,CA606,,Option 3 (not base),Level 4,36,6,1.35,2.4,1.1,0.5,0.5,5.9,289,514,237,107,,,,0,0,0,0,0,0,0
,,,,,,PM & Coordination,,,,,,,,,,,,,,,,,,,,,,,,1719,1678,1678,1678,1678,1678,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4266,4166,4166,4166,4166,4166,25096
,,,,,,,,,,,,,,,,,,,,,,Total Hours,9008,12797,7612,3875,,10110,5670,5985,5844,5844,5844,5844,5844,40876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Total Hours/Phase,1501,2133,1269,646,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Total Hours/6-Man Team,250,355,211,108,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Total Days,25,36,21,11,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Total Weeks,5,7,4,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
