Building,Assignment,Seller,OEM,Description,Procurement Status,Quantity Required,Quantity Ordered,Net Short Quantity,Extended Amount,Extended Amount Outstanding,Unit Price,L2 Labor Hours,L3 Labor Hours,L4 Labor Hours,L5 Labor Hours,L6 Labor Hours
G,DTO-G,TEXAS AIR SYSTEMS,WENDLAND,WENDLAND-30000 GAL HORIZONTAL-THERMAL STORAGE TANK,PO Issued,4,4,0,"$1,631,796 ",$0 ,"$407,949.00 ",,,,,
G,DTO-G,MCG,ABB,ABB-800A-STS,PO Issued,72,72,0,"$7,511,868 ",$0 ,"$104,331.50 ",,,,,
G-MMR,DTO-G-MMR,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,4,4,0,"$291,200 ",$0 ,"$72,800.00 ",,,,,
H,DTO-H,CERIO,DELTA,DELTA-1250KVA-UPS,PO Issued,42,42,0,"$14,822,260 ",$0 ,"$352,910.96 ",,,,,
H,DTO-H,CERIO,DELTA,DELTA-250KVA-UPS,PO Issued,30,30,0,"$3,570,304 ",$0 ,"$119,010.13 ",,,,,
H,DTO-H,CERIO,DELTA,DELTA-600A-BUSWAY,PO Issued,58,58,0,"$4,442,814 ",$0 ,"$76,600.24 ",,,,,
H,DTO-H,CERIO,DELTA,DELTA-400A-BUSWAY,PO Issued,2,2,0,"$153,200 ",$0 ,"$76,600.24 ",,,,,
H,DTO-H,CERIO,DELTA,DELTA-800A-BUSWAY,PO Issued,54,54,0,"$4,136,413 ",$0 ,"$76,600.24 ",,,,,
H,DTO-H,CERIO,DELTA,DELTA-800A-STS,PO Issued,54,54,0,"$5,003,100 ",$0 ,"$92,650.00 ",,,,,
H,DTO-H,CERIO,DELTA,DELTA-63A-PIU,PO Issued,54,54,0,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,,,,,
H,DTO-H,EAE,EAE,EAE-4000A-RESERVE BUSDUCT,PO Issued,1114,1114,0,"$1,038,248 ",$0 ,$932.00 ,,,,,
H,DTO-H,EAE,EAE,EAE-800A-RESERVE BUSDUCT TAP BOX,PO Issued,72,72,0,INCLUDED IN RBUS,INCLUDED IN RBUS,INCLUDED IN RBUS,,,,,
H,DTO-H,JCI,JCI,JCI-500T-115-CHILLER,PO Issued,30,30,0,"$17,500,846 ",$0 ,"$583,361.53 ",,,,,
H,DTO-H,JCI,JCI,JCI-72K-FAN WALL,PO Issued,48,48,0,"$5,462,916 ",$0 ,"$113,810.76 ",,,,,
H,DTO-H,HYDRAQUIP,DANFOSS,"DANFOSS-2"" FD83-COUPLER",PO Issued,1200,1200,0,"$631,560 ",$0 ,$526.30 ,,,,,
H,DTO-H,JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 34.5KV KNAN-TRANSFORMER,PO Issued,21,21,0,"$440,880 ",$0 ,"$20,994.28 ",,,,,
H,DTO-H,JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 34.5KV KNAF-TRANSFORMER,PO Issued,10,10,0,"$209,943 ",$0 ,"$20,994.28 ",,,,,
H,DTO-H,MCG,MCFI,MCFI-IT-MODULE,PO Issued,21,21,0,"$29,542,127 ",$0 ,"$1,406,767.94 ",,,,,
H,DTO-H,MCG,MCFI,MCFI-MECH-MODULE,PO Issued,10,10,0,"$14,067,679 ",$0 ,"$1,406,767.94 ",,,,,
H,DTO-H,MCG,POINT EIGHT POWER,PEP-1.25MW CAT-SWITCHBOARD,PO Issued,9,9,0,"$3,293,548 ",$0 ,"$365,949.82 ",,,,,
H,DTO-H,SVL,AAON,AAON-RQA-011-DOAS,PO Issued,2,2,0,"$133,438 ",$0 ,"$66,718.75 ",,,,,
H,DTO-H,SVL,CONDAIR,CONDAIR-RS-030-HUMIDIFIER,PO Issued,4,4,0,"$38,843 ",$0 ,"$9,710.71 ",,,,,
H,DTO-H,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,2,2,0,"$145,600 ",$0 ,"$72,800.00 ",,,,,
H,DTO-H,T5,CAT,CAT-1.25MW-GENERATOR,PO Issued,18,18,0,"$14,898,284 ",$0 ,"$827,682.44 ",,,,,
H,DTO-H,TEXAS AIR SYSTEMS,FISEN,FISEN-YVFA0459-CHILLED WATER PUMP SKID,PO Issued,30,30,0,"$2,413,740 ",$0 ,"$80,458.00 ",,,,,
H,DTO-H,TEXAS AIR SYSTEMS,WENDLAND,WENDLAND-30000 GAL HORIZONTAL-THERMAL STORAGE TANK,PO Issued,4,4,0,"$1,631,796 ",$0 ,"$407,949.00 ",,,,,
H-MMR,DTO-H-MMR,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,4,4,0,"$291,200 ",$0 ,"$72,800.00 ",,,,,
